Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity,Product Subtotal
230916FHWHNJ5W,Completed,SPEPH037735726649,Standard Local-SPX Express,pickup,2023-09-19 11:47,2023-09-17 13:16,2023-09-16 11:37,2023-09-16 11:47,EMBOSSED HALTER NECK TOP,"Hot pink,FREESIZE (S-L)",109,109,1,109
230916FY88B1XR,Completed,SPEPH034862921229,Standard Local-SPX Express,pickup,2023-09-28 15:37,2023-09-19 13:05,2023-09-16 15:35,2023-09-16 15:37,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Skirt,L-XL (29-34 inches)",290,290,1,290
230916G2S6Q1QB,Completed,787224301013,Standard Local-J&T Express,pickup,2023-09-28 16:49,2023-09-19 12:31,2023-09-16 16:39,2023-09-16 16:49,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Shorts,L-XL (29-34 inches)",290,290,1,290
230916GJSXQD41,Completed,SPEPH039188204829,Standard Local-SPX Express,pickup,2023-09-28 21:26,2023-09-26 15:12,2023-09-16 21:25,2023-09-16 21:26,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Shorts,XS-M (21-28 inches)",290,290,1,290
230916GQ4EF38K,Completed,SPEPH037214930869,Standard Local-SPX Express,pickup,2023-09-19 22:53,2023-09-17 13:16,2023-09-16 22:43,2023-09-16 22:53,EMBOSSED HALTER NECK TOP,"Royal blue,FREESIZE (S-L)",109,109,1,109
230917GWSK4F9M,Completed,SPEPH032097673519,Standard Local-SPX Express,pickup,2023-09-25 00:52,2023-09-20 16:55,2023-09-17 00:42,2023-09-17 00:52,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
230917GYKUHN2F,Completed,787225185065,Standard Local-J&T Express,pickup,2023-09-25 01:25,2023-09-19 12:33,2023-09-17 01:15,2023-09-17 01:25,TWEED COORDS/DRESS CHECKOUT (5 sets),,5,5,1,5
230917HY2Y251C,Completed,SPEPH037711473389,Standard Local-SPX Express,pickup,2023-09-28 10:48,2023-09-26 15:11,2023-09-17 10:38,2023-09-17 10:48,ZARA TWEED COORDINATES (SKIRT & SHORTS TERNO),"Pink Skirt,XS-M (21-28 inches)",290,290,1,290
230917J18MQC3R,Completed,SPEPH036744389319,Standard Local-SPX Express,pickup,2023-09-19 11:27,2023-09-19 13:05,2023-09-17 11:17,2023-09-17 11:27,EMBOSSED HALTER NECK TOP,"White,FREESIZE (S-L)",109,109,1,109
230917JRGP6WX4,Completed,787224087288,Standard Local-J&T Express,pickup,2023-09-19 18:23,2023-09-19 12:31,2023-09-17 18:13,2023-09-17 18:23,ZARA KNITTED TUBE TOP,"Apricot,FREESIZE (S-L)",69,69,1,69
