Order ID,Order Status,Tracking Number*,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Product Name,Variation Name,Original Price,Deal Price,Quantity,Product Subtotal,Order Complete Time
240503CS09DK8Q,Completed,SPEPH040229491595,Standard Local-SPX Express,pickup,2024-05-27 20:49,2024-05-05 12:16,2024-05-03 20:39,2024-05-03 20:49,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-11 09:43
240504E3MGT9JK,Completed,788764006870,Standard Local-J&T Express,pickup,2024-05-28 09:22,2024-05-06 12:21,2024-05-04 09:22,2024-05-04 09:22,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-12 08:15
240504E59N5PJF,Completed,SPEPH044003954625,Standard Local-SPX Express,pickup,2024-05-28 10:02,2024-05-05 12:16,2024-05-04 09:52,2024-05-04 10:02,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-11 10:56
240504E9565MN3,Completed,SPEPH047285095125,Standard Local-SPX Express,pickup,2024-05-28 11:11,2024-05-05 12:16,2024-05-04 11:01,2024-05-04 11:11,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-19 08:31
240504FGKF0KWJ,Completed,788761478478,Standard Local-J&T Express,pickup,2024-05-28 22:57,2024-05-06 12:21,2024-05-04 22:47,2024-05-04 22:57,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-14 09:22
240505H4NG9HRY,Completed,SPEPH046115769705,Standard Local-SPX Express,pickup,2024-05-28 14:28,2024-05-06 12:37,2024-05-05 14:18,2024-05-05 14:28,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-08 23:11
240505HDA9YUCP,Completed,SPEPH047518466155,Standard Local-SPX Express,pickup,2024-05-28 17:03,2024-05-07 10:54,2024-05-05 16:53,2024-05-05 17:03,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-09 19:29
240505HH26KSYM,Completed,SPEPH047791435965,Standard Local-SPX Express,pickup,2024-05-28 18:00,2024-05-07 10:54,2024-05-05 18:00,2024-05-05 18:00,ASSORTED TOPS LINK FOR BUYERS,,10,10,1,10,2024-05-13 08:45
240505HR24JPYC,Completed,788770449561,Standard Local-J&T Express,pickup,2024-05-28 20:15,2024-05-08 13:56,2024-05-05 20:05,2024-05-05 20:15,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-16 08:27
240505J0NFHCNR,Completed,SPEPH049948133755,Standard Local-SPX Express,pickup,2024-05-28 22:40,2024-05-07 10:55,2024-05-05 22:39,2024-05-05 22:40,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-08 18:07
240506K4SWXSMK,Completed,SPEPH045278524565,Standard Local-SPX Express,pickup,2024-05-29 09:36,2024-05-09 12:30,2024-05-06 09:26,2024-05-06 09:36,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-15 10:26
240506KD72JU4M,Completed,SPEPH048149992125,Standard Local-SPX Express,pickup,2024-05-08 12:07,2024-05-07 10:54,2024-05-06 11:57,2024-05-06 12:07,ASSORTED TOPS (KC LUNA TORRES),,247,247,1,247,2024-05-09 16:11
240506KVMS39DK,Completed,P62064MA963AA,Standard Local-Flash Express,pickup,2024-05-29 16:43,2024-05-07 13:22,2024-05-06 16:33,2024-05-06 16:43,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-12 06:33
240506KVXWBECW,Completed,SPEPH043953482755,Standard Local-SPX Express,pickup,2024-05-29 16:48,2024-05-07 10:54,2024-05-06 16:38,2024-05-06 16:48,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-12 09:10
240506M3T0U6G8,Completed,SPEPH045095444825,Standard Local-SPX Express,pickup,2024-05-29 18:51,2024-05-09 12:30,2024-05-06 18:41,2024-05-06 18:51,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-15 08:47
240506MC6KA7G0,Completed,788774457553,Standard Local-J&T Express,pickup,2024-05-29 21:12,2024-05-08 13:56,2024-05-06 21:11,2024-05-06 21:12,FREEBIES FOR BUYERS ONLY (2),,5,5,1,5,2024-05-11 01:16
240506MCBXX8P8,Completed,788774441265,Standard Local-J&T Express,pickup,2024-05-08 21:24,2024-05-08 13:56,2024-05-06 21:14,2024-05-06 21:24,ASSORTED TOPS (MAREE TALLOS),,1288,1288,1,1288,2024-05-16 09:41
240507P29W2CB9,Completed,788777317596,Standard Local-J&T Express,pickup,2024-05-09 13:29,2024-05-09 12:16,2024-05-07 13:19,2024-05-07 13:29,ASSORTED ITEMS BUNDLE,,3462,3462,1,3462,2024-05-13 15:00
240507P8Q8US1H,Completed,SPEPH040190894965,Standard Local-SPX Express,pickup,2024-05-30 15:24,2024-05-09 12:30,2024-05-07 15:14,2024-05-07 15:24,FREEBIES FOR BUYERS ONLY (2),,5,5,1,5,2024-05-18 14:31
240507PT03JC6D,Completed,SPEPH046862520655,Standard Local-SPX Express,pickup,2024-05-30 20:33,2024-05-09 12:30,2024-05-07 20:23,2024-05-07 20:33,FREEBIES FOR BUYERS ONLY (2),,5,5,1,5,2024-05-10 12:43
240508R50WD8CQ,Completed,788777585828,Standard Local-J&T Express,pickup,2024-05-31 09:14,2024-05-09 12:16,2024-05-08 09:13,2024-05-08 09:14,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-17 10:16
240508RJ47M2R0,Completed,SPEPH048720683945,Standard Local-SPX Express,pickup,2024-05-31 13:18,2024-05-09 12:30,2024-05-08 13:08,2024-05-08 13:18,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-18 08:30
240508RX0TWN1U,Completed,788776935599,Standard Local-J&T Express,pickup,2024-05-31 16:41,2024-05-09 12:16,2024-05-08 16:41,2024-05-08 16:41,FREEBIES FOR BUYERS ONLY (2),,5,5,1,5,2024-05-11 15:33
240508S6CRED9H,Completed,788764419208,Standard Local-J&T Express,pickup,2024-05-31 19:11,2024-05-09 12:16,2024-05-08 19:11,2024-05-08 19:11,FREEBIES FOR BUYERS ONLY (2),,5,5,1,5,2024-05-14 10:03
240508SDQS603U,Completed,788800685371,Standard Local-J&T Express,pickup,2024-05-31 21:32,2024-05-18 12:43,2024-05-08 21:22,2024-05-08 21:32,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-23 10:24
240509TYPB8QJV,Completed,SPEPH040959202245,Standard Local-SPX Express,pickup,2024-06-01 12:18,2024-05-11 11:36,2024-05-09 12:16,2024-05-09 12:18,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-18 08:43
240509U0VY9AS7,Completed,SPEPH048381147175,Standard Local-SPX Express,pickup,2024-06-01 12:48,2024-05-10 12:34,2024-05-09 12:38,2024-05-09 12:48,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-13 11:31
240509U173GDR4,Completed,788779862642,Standard Local-J&T Express,pickup,2024-06-01 12:53,2024-05-11 13:32,2024-05-09 12:43,2024-05-09 12:53,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-15 21:52
240509U1X3QWJP,Completed,SPEPH048847538585,Standard Local-SPX Express,pickup,2024-06-01 13:06,2024-05-10 12:34,2024-05-09 12:56,2024-05-09 13:06,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-20 08:49
240509U307NC6R,Completed,SPEPH040185915005,Standard Local-SPX Express,pickup,2024-06-01 13:25,2024-05-11 11:36,2024-05-09 13:15,2024-05-09 13:25,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-14 14:14
240509U3895GAE,Completed,SPEPH041730399945,Standard Local-SPX Express,pickup,2024-06-01 13:21,2024-05-11 11:36,2024-05-09 13:20,2024-05-09 13:21,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-20 08:24
240509U38QFC2V,Completed,SPEPH047835490445,Shopee Self Pick-up,pickup,2024-06-01 13:20,2024-05-11 11:36,2024-05-09 13:20,2024-05-09 13:20,FREEBIES FOR BUYERS ONLY,,5,5,1,5,2024-05-14 19:21
